Date,Open,High,Low,Close,Volume,Adj Close
2013-01-22,72.389999,72.449997,72.019997,72.199997,7042200,65.852254
2013-01-18,72.220001,72.540001,72.129997,72.480003,7741200,66.107643
2013-01-17,71.639999,72.470001,71.300003,72.43,7495700,66.062036
2013-01-16,71.330002,71.800003,71.260002,71.480003,5001000,65.195562
2013-01-15,71.169998,71.739998,70.870003,71.599998,5546100,65.305007
2013-01-14,70.889999,71.419998,70.769997,71.290001,5631800,65.022264
2013-01-11,70.720001,70.889999,70.559998,70.879997,4668900,64.648307
2013-01-10,70.190002,70.919998,70.160004,70.809998,6923200,64.584462
2013-01-09,69.949997,70.040001,69.57,70.010002,6280900,63.854801
2013-01-08,69.25,69.699997,69.25,69.660004,5072500,63.535574
2013-01-07,69.529999,69.690002,69.160004,69.449997,5658400,63.344031
2013-01-04,69.290001,69.629997,69.099998,69.459999,4512300,63.353154
2013-01-03,69.279999,69.480003,69.050003,69.360001,5200100,63.261947
2013-01-02,69.18,69.480003,68.639999,69.330002,8055900,63.234586
2012-12-31,67.779999,68.449997,67.389999,68.43,5899600,62.413711
2012-12-28,68.339996,68.690002,68.010002,68.019997,3764500,62.039755
2012-12-27,68.75,68.93,68.18,68.669998,4748100,62.632609
2012-12-26,69.410004,69.43,68.580002,68.839996,3731400,62.787661
2012-12-24,69.330002,69.599998,69.010002,69.43,2071300,63.325793
2012-12-21,69.980003,70.089996,69.230003,69.629997,8748000,63.508206
2012-12-20,70.029999,70.25,69.669998,70.110001,6478200,63.946008
2012-12-19,70.550003,70.650002,69.849998,69.879997,6275900,63.736226
2012-12-18,70.269997,70.769997,70.00,70.529999,5549700,64.32908
2012-12-17,70.260002,70.580002,70.099998,70.370003,5934100,64.183151
2012-12-14,70.099998,70.449997,70.010002,70.160004,5068300,63.991615
2012-12-13,70.32,70.459999,70.099998,70.209999,4325200,64.037215
2012-12-12,70.50,70.75,70.160004,70.239998,4483400,64.064576
2012-12-11,70.209999,70.889999,70.089996,70.419998,5840800,64.228751
2012-12-10,70.019997,70.330002,70.00,70.209999,4124000,64.037215
2012-12-07,70.059998,70.269997,69.849998,70.260002,3891300,64.082822
2012-12-06,69.809998,70.019997,69.75,70.019997,4086200,63.863917
2012-12-05,69.50,70.089996,69.300003,69.709999,4841900,63.581174
2012-12-04,69.839996,70.019997,69.650002,69.860001,3644900,63.2282
2012-12-03,70.32,70.410004,69.800003,69.870003,4769200,63.237252
2012-11-30,70.309998,70.349998,69.739998,70.209999,6664600,63.544973
2012-11-29,70.389999,70.639999,70.169998,70.309998,4284700,63.635478
2012-11-28,69.910004,70.589996,69.809998,70.349998,4434100,63.671682
2012-11-27,69.919998,70.419998,69.690002,70.110001,4794900,63.454467
2012-11-26,69.790001,70.050003,69.599998,70.00,3855800,63.354909
2012-11-23,69.50,70.360001,69.50,70.190002,3427900,63.526874
2012-11-21,68.980003,69.400002,68.68,69.309998,4106000,62.730408
2012-11-20,68.599998,68.93,68.32,68.910004,5457000,62.368386
2012-11-19,68.57,68.800003,68.160004,68.779999,5512100,62.250722
2012-11-16,68.019997,68.50,67.790001,68.309998,5178400,61.825338
2012-11-15,68.120003,68.309998,67.720001,68.190002,4668900,61.716734
2012-11-14,68.559998,68.709999,68.040001,68.169998,4711100,61.698629
2012-11-13,68.720001,69.169998,68.510002,68.580002,3791000,62.069711
2012-11-12,68.779999,68.970001,68.57,68.610001,3906400,62.096862
2012-11-09,68.629997,69.150002,68.559998,68.849998,5598700,62.314077
2012-11-08,68.889999,69.300003,68.599998,68.790001,5531800,62.259775
2012-11-07,69.169998,69.400002,68.540001,68.989998,5913100,62.440786
2012-11-06,69.029999,69.610001,68.760002,69.349998,4800300,62.766612
2012-11-05,68.57,69.080002,68.32,69.00,4759100,62.449839
2012-11-02,69.690002,69.769997,68.93,69.050003,4352400,62.495095
2012-11-01,69.25,69.669998,69.120003,69.440002,4420100,62.848072
2012-10-31,69.169998,69.68,68.970001,69.239998,5490500,62.667054
2012-10-26,69.129997,69.190002,68.68,68.980003,5200000,62.43174
2012-10-25,68.639999,69.089996,68.529999,68.889999,4805600,62.35028
2012-10-24,68.559998,69.029999,68.230003,68.400002,5619700,61.906798
2012-10-23,69.169998,69.260002,68.360001,68.519997,5692900,62.015402
2012-10-22,69.68,69.879997,69.010002,69.599998,5820400,62.992879
